match_id,winner,blue_champion_0,blue_mastery_0,blue_champion_1,blue_mastery_1,blue_champion_2,blue_mastery_2,blue_champion_3,blue_mastery_3,blue_champion_4,blue_mastery_4,red_champion_0,red_mastery_0,red_champion_1,red_mastery_1,red_champion_2,red_mastery_2,red_champion_3,red_mastery_3,red_champion_4,red_mastery_4
NA1_5151186655,red,119,158617,141,65806,136,496604,901,55374,117,79092,23,280240,245,514207,799,57893,96,2051163,53,175462
NA1_5151181137,blue,98,74049,113,639484,38,6629,22,26489,235,282808,3,1226576,121,259713,134,537309,81,137249,99,213061
NA1_5151171800,blue,266,2109801,120,147571,3,32599,81,85672,50,79065,897,407710,876,21721,134,537309,51,476544,518,512774
NA1_5151157530,blue,6,1318165,104,124306,245,479850,202,41052,518,2055268,897,11460,427,211218,134,45177,145,35487,89,177070
NA1_5151145115,blue,31,24899,799,1680,84,81727,51,1286665,526,9109,41,1059723,91,415281,711,128569,202,247016,555,2154578
NA1_5151113812,red,114,184128,76,15442,236,497967,147,148584,412,90253,41,531210,120,326878,127,77971,29,78947,111,41281
NA1_5150694054,red,6,1043741,154,133534,166,209532,22,14074,555,63506,777,240359,120,158579,516,40562,96,2051163,412,233759
NA1_5150666369,red,6,1043741,107,48876,45,724,115,118727,235,86449,39,28606,234,543574,134,537309,221,291405,526,11985
NA1_5150641250,blue,6,1043741,234,134457,154,188105,157,140607,99,301042,266,345340,120,158579,136,496604,51,12885,101,78955
NA1_5150615528,blue,799,8497,104,103142,517,17992,22,231641,235,86449,164,205518,154,188105,134,537309,42,108092,143,885469
NA1_5150314177,red,777,49843,76,74593,799,9058,51,115998,412,1811269,39,84607,91,83738,134,537309,166,1903782,267,906501
NA1_5148145315,blue,110,43077,20,2631518,711,128569,236,986187,350,1146387,39,358030,64,33147,7,14469,22,283164,902,28438
NA1_5148134185,red,154,1719,32,10680,134,537309,119,6344412,235,152486,887,50743,777,42071,421,318266,81,187480,201,41853
NA1_5148120980,blue,62,10335,234,84090,134,537309,236,79686,16,237125,114,687509,154,2006354,76,25131,110,69211,26,1576996
NA1_5148101360,red,41,286682,234,102071,45,1683229,895,87189,412,126774,92,2222063,200,263601,127,280651,523,402727,12,34302
NA1_5148075074,red,54,75120,234,773761,134,537309,523,288161,555,104667,31,24279,76,504855,221,1149264,18,52136,526,106220
NA1_5146793606,red,150,68250,72,147321,18,52101,134,6147,526,183709,114,435471,9,1692846,136,496604,51,228163,59,64052
NA1_5146754541,blue,122,2025552,163,488131,42,112618,145,330693,555,218803,157,468564,141,196210,18,52101,99,74962,142,73043
NA1_5146720924,red,897,263999,60,120615,134,537309,42,12096,89,44665,150,16530,72,47665,7,38101,18,579166,235,260370
NA1_5146657998,blue,98,72846,104,702592,134,537309,42,8973,267,5226,150,133254,62,94350,55,1314688,15,68502,117,30089
NA1_5146149746,red,23,821024,234,258357,45,233659,22,188064,40,187622,518,2055268,35,2883821,134,537309,15,31165,43,86132
NA1_5146102680,blue,8,921709,72,188449,42,112618,81,370001,223,322386,92,1664572,59,40959,55,706609,119,6344412,111,15977
NA1_5146069447,red,893,9316,104,787535,134,30096,429,55572,888,14432,23,62429,203,104584,90,75821,202,229448,142,806289
NA1_5146033481,blue,24,34717,64,32106,134,537309,119,58449,518,344455,79,198683,893,12209,234,88339,51,1583644,888,8052
NA1_5146003062,red,901,234989,887,1405,516,40562,202,420869,143,16529,2,297847,120,491445,115,14226,8,1192928,16,1202789
NA1_5145973476,blue,893,137646,254,68008,103,506533,523,258238,117,139153,268,2917170,104,177005,136,496604,51,1583644,72,106721
NA1_5145943759,blue,268,2917170,64,214433,42,112618,22,9497,43,46092,80,1489086,104,46329,34,888638,110,199197,902,962305
NA1_5145907684,red,150,118048,72,190004,134,537309,202,168223,16,93370,157,161765,20,1660225,63,1040423,523,254348,44,6638174
NA1_5145462806,red,223,7733,427,211218,90,191782,119,13892,267,84381,777,84468,421,22418,103,242889,221,59481,350,64497
NA1_5145443828,blue,157,468564,427,211218,61,17904,81,730801,111,35586,92,6963698,102,2326709,518,2055268,147,358057,235,17600
NA1_5145433055,blue,150,28023,59,92162,136,184842,147,358057,12,499595,77,32413,102,2326709,134,537309,901,5450,111,196595
NA1_5145418604,blue,266,41089,104,599874,246,41044,147,358057,223,17021,68,3501308,56,100102,134,537309,429,150638,78,72696
NA1_5141731828,blue,54,45797,203,88356,134,537309,81,135231,43,1490812,157,468564,104,120324,18,247699,147,184774,111,177767
NA1_5141701052,red,85,293452,121,5088,157,468564,221,1149264,26,139241,8,66136,163,107249,777,50501,523,887385,37,111796
NA1_5157473503,blue,517,9246,62,65585,41,477021,96,21342,40,14788,54,6838,234,19998,13,282140,22,241596,267,32170
NA1_5157438614,blue,79,23320,76,20230,157,1212839,523,258238,555,294033,799,17602,421,33285,61,119416,22,177357,78,116265
NA1_5156613067,red,63,1302131,141,2805186,157,1212839,799,18902,497,240657,164,882739,234,49643,893,46147,110,49270,412,4768
NA1_5156567977,red,2,21895,234,488408,518,2055268,147,174665,142,26479,64,279574,9,49701,13,172739,21,262686,99,28936
