match_id,winner,blue_champion_0,blue_mastery_0,blue_champion_1,blue_mastery_1,blue_champion_2,blue_mastery_2,blue_champion_3,blue_mastery_3,blue_champion_4,blue_mastery_4,red_champion_0,red_mastery_0,red_champion_1,red_mastery_1,red_champion_2,red_mastery_2,red_champion_3,red_mastery_3,red_champion_4,red_mastery_4
EUW1_7188336675,blue,62,40660,72,79068,61,47550,22,167906,147,88214,92,1860862,77,140684,517,363242,42,43371,117,1132934
EUW1_7186137242,blue,79,12956,63,14054,18,139992,22,288632,497,10898,72,228751,62,108036,518,101540,114,2265604,89,3283
EUW1_7186101074,red,114,899928,117,10607,61,73259,221,40748,60,1812165,893,58403,56,44484,84,340148,81,2602843,412,1444491
EUW1_7185882881,blue,98,10705,64,371712,61,199786,81,50257,12,9677,41,4774690,517,258224,157,657426,360,353963,526,193634
EUW1_7185852002,red,110,10839,60,107287,777,37469,21,117706,517,285709,58,223879,141,165771,7,459793,202,16382,526,403931
EUW1_7185839478,blue,8,1576298,141,165771,81,167582,163,183120,111,18228,76,12445,103,74662,200,358059,429,22661,888,99018
EUW1_7185784102,red,3,171146,60,37064,111,21803,360,184883,777,95012,150,20664,104,552784,84,408717,115,51073,526,403931
EUW1_7185736428,red,897,92936,234,205296,42,32517,115,89351,89,243740,114,874809,64,340276,61,199786,67,231355,117,2862240
EUW1_7185666154,red,897,120902,254,117212,134,1095067,114,2265604,412,941259,893,17177,72,106331,84,340148,51,255830,902,81209
EUW1_7185595521,blue,516,13298,60,76909,145,200497,202,252374,43,356032,3,171146,64,1060323,61,199786,81,145086,111,474681
EUW1_7185578211,red,24,171823,234,310077,103,387338,30,531444,111,21803,3,2043,62,94369,910,188761,119,925931,412,80714
EUW1_7185540130,blue,6,530252,72,61195,61,199786,222,88065,432,926435,126,423935,143,3515,84,54857,22,43415,111,6851
EUW1_7185423366,red,516,621061,131,667,777,212179,51,177258,142,1875637,98,1795575,234,174120,18,17222,50,75172,117,2862240
EUW1_7185338928,red,516,621061,76,314986,42,80361,67,378847,117,650448,31,50178,121,33632,7,342009,81,145086,267,122198
EUW1_7185249652,red,86,65558,234,48231,893,42693,42,84004,161,4824180,9,1287178,59,301123,777,212179,22,198165,117,14976
EUW1_7185209731,blue,516,621061,72,228751,893,60264,498,156203,497,5666,897,109427,887,5580,18,139992,42,49391,555,146630
EUW1_7185158322,blue,14,56971,887,6970,18,139992,42,64816,89,230133,126,518035,72,30975,910,849779,81,2602843,43,356032
EUW1_7185111725,blue,24,751729,234,688005,517,55853,202,252374,89,7506,79,241468,203,233108,103,181387,222,289719,201,14470
EUW1_7185067418,blue,897,66066,59,49447,134,333887,22,197917,40,134448,79,349488,104,121683,39,425975,16,227436,427,42400
EUW1_7185036238,blue,58,449455,234,219051,134,189995,81,684078,432,184439,98,226402,163,488318,42,80361,96,51065,526,176311
EUW1_7185001423,blue,164,757232,72,169141,18,139992,50,8771,235,1110192,68,126183,11,1331230,901,61201,81,2602843,43,52175
EUW1_7184978300,red,150,360864,60,83181,42,141421,81,2602843,526,353412,10,61903,254,143951,103,294224,222,260858,111,21803
EUW1_7184812703,blue,79,539973,107,287012,7,459793,22,155811,201,131015,517,23702,104,152263,134,5210,119,427031,526,164669
EUW1_7184779963,red,516,621061,62,472827,18,139992,101,21195,43,5391,157,26778,234,174120,38,171668,22,207610,111,713221
EUW1_7184738024,blue,114,692250,72,26034,3,15903,222,41002,117,11969,150,260735,234,310077,69,450711,134,333887,267,384873
EUW1_7184646633,blue,58,197178,121,114561,84,340148,42,77078,267,384873,516,13305,51,2471691,777,11184,30,17122,555,341490
EUW1_7183993299,red,114,899928,234,390731,517,903579,111,13175,145,453753,58,15126,11,1331230,157,1635706,103,181387,117,650448
EUW1_7183971843,red,150,245350,64,234263,517,363242,81,371972,111,1927,516,40280,56,507275,84,216716,22,62113,555,367331
EUW1_7183946677,blue,897,224469,143,29745,517,223158,67,23485,526,83082,893,62441,35,609258,134,333887,110,25818,78,5719
EUW1_7183687875,blue,157,60094,154,33121,61,199786,42,32418,111,155454,98,1393321,254,100757,134,73438,81,53969,142,289152
