match_id,winner,blue_champion_0,blue_mastery_0,blue_champion_1,blue_mastery_1,blue_champion_2,blue_mastery_2,blue_champion_3,blue_mastery_3,blue_champion_4,blue_mastery_4,red_champion_0,red_mastery_0,red_champion_1,red_mastery_1,red_champion_2,red_mastery_2,red_champion_3,red_mastery_3,red_champion_4,red_mastery_4
NA1_5139149708,blue,84,513575,59,31514,112,311462,22,438086,37,34731,92,2048816,421,7961,99,845020,15,231972,40,144263
KR_7350075949,blue,77,0,76,0,91,0,22,0,89,0,2,0,113,0,777,0,51,0,99,0
KR_7381229415,blue,897,546019,64,165100,117,50208,110,6321,89,27734,234,92601,427,106561,777,212892,1,1450383,526,384727
KR_7378038440,red,266,157459,200,617108,61,71387,202,239202,57,12664,164,149250,234,390180,45,698556,42,78444,3,6212
KR_7370551757,red,150,370225,234,173362,3,25814,81,103687,526,9707,39,144345,64,156027,517,30200,895,70924,888,5084
KR_7384647781,red,54,9634,143,117986,18,2895,110,234686,201,159433,517,29439,76,154251,777,23080,22,55316,147,57781
KR_7356384626,blue,69,497329,30,7182,246,393567,236,1368224,267,35508,41,1112549,234,85705,893,22117,202,116898,432,78401
EUW1_7188817803,red,6,208382,59,186033,103,133459,22,608298,902,1791,266,83943,234,122645,7,39934,42,83647,526,134726
KR_7345285074,red,516,43557,9,222113,80,472054,42,42472,555,419274,164,237014,76,496141,517,87637,202,83201,89,75527
NA1_5134519477,red,24,272669,72,93185,8,1086694,74,737234,235,149206,6,2717430,427,651133,517,331777,523,121660,888,18582
EUW1_7199189595,red,799,10252,60,463327,1,44814,202,20985,910,91581,897,79387,62,40293,143,356929,222,546489,117,347913
KR_7362985360,red,6,79485,104,509099,4,932128,145,27965,53,61113,126,333939,254,101723,84,215059,498,400301,497,43262
KR_7374497901,blue,85,31566,104,96376,36,541887,498,181202,497,152173,19,1022357,234,22738,61,33594,119,31619,111,436560
KR_7372752314,blue,79,47401,30,22752,157,106825,202,103453,497,808278,897,448593,200,16537,893,50481,110,249904,432,123931
EUW1_7181114132,blue,777,101945,64,34025,517,285709,901,150482,63,89787,8,45661,62,8543,516,34979,42,21415,432,77724
NA1_5132396474,blue,19,174301,64,502423,74,1286012,222,56235,117,42506,897,108477,72,44440,4,838009,22,71694,101,16171
NA1_5156913021,red,31,4058523,72,128635,246,892832,222,1064709,26,13389,86,580650,427,30323,23,980005,51,1127383,497,636945
KR_7343016348,blue,897,45745,72,75413,901,17116,222,28980,12,12757,110,18514,234,389506,3,407208,145,908655,111,8294
NA1_5151546899,red,10,43932,5,217554,799,21715,145,211719,235,106725,8,335970,59,329123,103,39813,222,102849,117,8097
NA1_5144433192,red,887,304202,86,2694274,103,86563,51,347723,412,39076,234,24447,98,291778,157,300118,145,192745,53,78215
KR_7348860276,red,92,902644,234,718819,517,334458,15,4389,53,229598,77,276510,76,393980,42,156125,202,37734,12,8872
NA1_5153222679,blue,58,286152,163,299892,950,1082191,221,138794,497,164252,150,3019,72,47665,910,72962,42,16607,267,15540
